Question,Answer
What is meant by 'Check the dataset against the usage/strength of each algorithm ' in context of Algorithm?,Check the dataset against the usage/strength of each algorithm
"What is meant by 'Be mindful of ‘external factors’ (e.g. seasonal effects, RL if you' in context of Algorithm?","Be mindful of ‘external factors’ (e.g. seasonal effects, RL if you"
What is meant by 'Test your algorithm(s) with test data and select the best ' in context of Algorithm?,Test your algorithm(s) with test data and select the best
What is meant by 'No algorithm will be perfect! (There will be an error. The ' in context of Algorithm?,No algorithm will be perfect! (There will be an error. The
What is meant by 'Scikit-learn - Python (Anaconda Python Distribution)' in context of Popular Frameworks/Tools?,Scikit-learn - Python (Anaconda Python Distribution)
What is meant by 'R (R studio)' in context of Popular Frameworks/Tools?,R (R studio)
What is meant by 'Matlab/Octave (can export DLLs)' in context of Popular Frameworks/Tools?,Matlab/Octave (can export DLLs)
What is meant by 'Weka (Java based)' in context of Popular Frameworks/Tools?,Weka (Java based)
What is meant by 'Java OpenNLP/Python NLTK (Natural language processing' in context of Popular Frameworks/Tools?,Java OpenNLP/Python NLTK (Natural language processing
What is meant by 'Apache Spark (part of the Apache Hadoop platform)' in context of Popular Frameworks/Tools?,Apache Spark (part of the Apache Hadoop platform)
What is meant by 'Google Tensorflow (Python library for Deep neural ' in context of Popular Frameworks/Tools?,Google Tensorflow (Python library for Deep neural
What is meant by 'Apache Keras (Python library of neural networks)' in context of Popular Frameworks/Tools?,Apache Keras (Python library of neural networks)
What is meant by 'Theano (Python library for Multicore processing of DNNs)' in context of Popular Frameworks/Tools?,Theano (Python library for Multicore processing of DNNs)
What is meant by 'Amazon AWS Services/Microsoft Azure ML (Cloud based ' in context of Popular Frameworks/Tools?,Amazon AWS Services/Microsoft Azure ML (Cloud based
What is meant by 'AI is a vast discipline with many ' in context of Summary?,AI is a vast discipline with many
What is meant by 'AI attempts to give machine the ' in context of Summary?,AI attempts to give machine the
"What is meant by 'Container orchestration automates the deployment, management, ' in context of Container orchestration?","Container orchestration automates the deployment, management,"
What is meant by 'Container orchestration can be used in any environment where you ' in context of Container orchestration?,Container orchestration can be used in any environment where you
What is meant by '“Kubernetes (k8s) is an open source platform for automating ' in context of What is Kubernetes??,“Kubernetes (k8s) is an open source platform for automating
What is meant by 'Project that was created by Google as an open source container ' in context of What is Kubernetes??,Project that was created by Google as an open source container
What is meant by 'It was donated to CNCF (Cloud Native Computing Foundation) who ' in context of What is Kubernetes??,It was donated to CNCF (Cloud Native Computing Foundation) who
What is K8s itself follows a client-?,server architecture with  a master and worker  nodes. <Worker Node 1> <docker> <Master Node> CLI <kubectl>
What is meant by 'etcd works as backend for service discovery ' in context of API server contains various methods to?,etcd works as backend for service discovery
What is meant by 'Pods ' in context of E.g. docker container?,Pods
What is meant by 'the way of running containers in Kubernetes ' in context of E.g. docker container?,the way of running containers in Kubernetes
What is meant by 'basic deployable and scaling unit ' in context of E.g. docker container?,basic deployable and scaling unit
What is meant by 'defines one or more containers ' in context of E.g. docker container?,defines one or more containers
What is meant by 'containers are co-located on a node ' in context of E.g. docker container?,containers are co-located on a node
What is meant by 'flat network structure ' in context of E.g. docker container?,flat network structure
What is meant by 'Nodes' in context of E.g. docker container?,Nodes:
What is meant by 'physical worker machines ' in context of E.g. docker container?,physical worker machines
What is meant by 'can run multiple pods ' in context of E.g. docker container?,can run multiple pods
What is meant by 'pods running within single node don’t know about each other' in context of E.g. docker container?,pods running within single node don’t know about each other
What is meant by 'Minikube' in context of E.g. docker container?,Minikube:
What is meant by 'single node cluster ' in context of E.g. docker container?,single node cluster
What is meant by 'running in a VM ' in context of E.g. docker container?,running in a VM
"What is meant by 'supports linux, windows and ' in context of E.g. docker container?","supports linux, windows and"
What is meant by 'Docker Desktop with built-in ' in context of Running things locally?,Docker Desktop with built-in
What is meant by 'single node cluster ' in context of Running things locally?,single node cluster
What is meant by 'running in a VM ' in context of Running things locally?,running in a VM
What is meant by 'windows and macOS ' in context of Running things locally?,windows and macOS
What is meant by 'drag & drop installation ' in context of Running things locally?,drag & drop installation
What is meant by 'bound to specific kubernetes ' in context of Running things locally?,bound to specific kubernetes
What is meant by 'kind' in context of Running things locally?,kind:
What is meant by 'Create resource from file - kubectl create -f resource_file.yml ' in context of Managing cluster resources?,Create resource from file - kubectl create -f resource_file.yml
What is meant by 'Change existing (or create) resource based on file - kubectl apply -f ' in context of Managing cluster resources?,Change existing (or create) resource based on file - kubectl apply -f
What is meant by 'Delete existing resource - kubectl delete resource_type ' in context of Managing cluster resources?,Delete existing resource - kubectl delete resource_type
What is meant by 'List resources of type - kubectl get resource_type ' in context of Managing cluster resources?,List resources of type - kubectl get resource_type
What is meant by 'Edit resource on the server - kubectl edit resource_type ' in context of Managing cluster resources?,Edit resource on the server - kubectl edit resource_type
What is meant by 'Execute command on the container - kubectl exec [-it] pod_name ' in context of Debugging cluster resources?,Execute command on the container - kubectl exec [-it] pod_name
What is meant by 'Get container logs - kubectl logs pod_name [-c container_name]' in context of Debugging cluster resources?,Get container logs - kubectl logs pod_name [-c container_name]
What is meant by 'Forward port from a pod - kubectl port-forward pod_name ' in context of Debugging cluster resources?,Forward port from a pod - kubectl port-forward pod_name
What is meant by 'Print detailed description of a resource - kubectl describe ' in context of Debugging cluster resources?,Print detailed description of a resource - kubectl describe
What is meant by 'Replica Sets - Ensures desired number of pods exist by' in context of Few resource objects in K8s?,Replica Sets - Ensures desired number of pods exist by: scaling up or
What is meant by 'Deployment' in context of Few resource objects in K8s?,Deployment
What is meant by 'A Deployment provides declarative updates for Pods and ReplicaSets. You ' in context of Few resource objects in K8s?,A Deployment provides declarative updates for Pods and ReplicaSets. You
What is meant by 'Service' in context of Deployment Controller changes the actual state to the desired state at a?,Service
What is meant by 'A method for exposing a network application that is running as one or ' in context of Deployment Controller changes the actual state to the desired state at a?,A method for exposing a network application that is running as one or
What is meant by 'Ingress - An Ingress is a Kubernetes object that sits in front of ' in context of Few resource objects in K8s?,Ingress - An Ingress is a Kubernetes object that sits in front of
What is meant by 'Defining a Pod' in context of Demo?,Defining a Pod
What is meant by 'Creating a ReplicaSet' in context of Demo?,Creating a ReplicaSet
What is meant by 'Creating a Deployment' in context of Demo?,Creating a Deployment
What is I want to be able to?,"deploy and share my app  everywhere consistently,  and manage it as a single  entity regardless of the  different parts."
What is meant by 'Let’s see what it takes to deploy an app on a running Kubernetes cluster' in context of Deploying an App – kubectl Way?,Let’s see what it takes to deploy an app on a running Kubernetes cluster
What is meant by 'There will be lot’s of YAML Kubernetes manifest files' in context of Deploying an App – kubectl Way?,There will be lot’s of YAML Kubernetes manifest files
What is meant by 'Ex' in context of Deploying an App – kubectl Way?,Ex:-
What is meant by 'Application deployment and service configuration' in context of Deploying an App – kubectl Way?,Application deployment and service configuration
What is meant by 'Redis master deployment and service configuration' in context of Deploying an App – kubectl Way?,Redis master deployment and service configuration
What is meant by 'Redis slaves deployment and service configuration' in context of Deploying an App – kubectl Way?,Redis slaves deployment and service configuration
"What is meant by 'Using the Kubernetes client, kubectl' in context of Deploying an App – kubectl Way?","Using the Kubernetes client, kubectl"
What is meant by 'Create Deployment' in context of Deploying an App – kubectl Way?,Create Deployment
What is meant by 'CI/CD pipeline' in context of Deploying an App – kubectl Way – Pain Points?,CI/CD pipeline
"What is meant by 'kubectl deployments are not easy to configure, update and rollback ' in context of Deploying an App – kubectl Way – Pain Points?","kubectl deployments are not easy to configure, update and rollback"
What is meant by 'Deploying app to dev/test/production may require different configuration' in context of Deploying an App – kubectl Way – Pain Points?,Deploying app to dev/test/production may require different configuration
What is meant by 'Update deployment e.g. update with a new image' in context of Deploying an App – kubectl Way – Pain Points?,Update deployment e.g. update with a new image
What is meant by 'Change the configuration based on certain conditions ' in context of Deploying an App – kubectl Way – Pain Points?,Change the configuration based on certain conditions
What is meant by 'A different serviceType is needed in different environments (e.g. NodePort/LoadBalancer)  ' in context of Deploying an App – kubectl Way – Pain Points?,A different serviceType is needed in different environments (e.g. NodePort/LoadBalancer)
What is meant by 'Need for rollback ' in context of Deploying an App – kubectl Way – Pain Points?,Need for rollback
What is meant by 'Need of having multiple deployments (e.g. multiple Redis deployments) ' in context of Deploying an App – kubectl Way – Pain Points?,Need of having multiple deployments (e.g. multiple Redis deployments)
What is meant by 'Requires to track your deployment and modify YAML files (can be error prone)' in context of Deploying an App – kubectl Way – Pain Points?,Requires to track your deployment and modify YAML files (can be error prone)
What is meant by 'Does not allow multiple deployments without updating metadata in manifest files' in context of Deploying an App – kubectl Way – Pain Points?,Does not allow multiple deployments without updating metadata in manifest files
"What is meant by 'Share your deployment configurations with your friend, team or customer?' in context of Deploying an App – kubectl Way – Pain Points?","Share your deployment configurations with your friend, team or customer?"
What is meant by 'You need to share many files and related dependencies ' in context of Deploying an App – kubectl Way – Pain Points?,You need to share many files and related dependencies
What is meant by 'Deploying an app – Helm Way ' in context of Here Comes Helm?,Deploying an app – Helm Way
What is meant by 'No expertise of Kubernetes deployment needed as Helm hides Kubernetes domain complexities ' in context of Here Comes Helm?,No expertise of Kubernetes deployment needed as Helm hides Kubernetes domain complexities
What is meant by 'Helm packages all dependencies ' in context of Here Comes Helm?,Helm packages all dependencies
What is meant by 'Helm tracks deployment making it easy to update and rollback' in context of Here Comes Helm?,Helm tracks deployment making it easy to update and rollback
What is meant by 'Same workload can be deployed multiple times' in context of Here Comes Helm?,Same workload can be deployed multiple times
What is meant by 'Helm allows assigning workload release names at runtime' in context of Here Comes Helm?,Helm allows assigning workload release names at runtime
"What is meant by 'A tool or package manager for the Kubernetes, for deployment and ' in context of Kubernetes applications?","A tool or package manager for the Kubernetes, for deployment and"
What is meant by 'Helm became a CNCF project in mid 2018' in context of Kubernetes applications?,Helm became a CNCF project in mid 2018
What is meant by 'It uses a packaging format called charts' in context of Kubernetes applications?,It uses a packaging format called charts
What is meant by 'A chart is a collection of files that describe Kubernetes resources' in context of Kubernetes applications?,A chart is a collection of files that describe Kubernetes resources
What is meant by 'Think of Helm like apt/yum/homebrew for Kubernetes' in context of Kubernetes applications?,Think of Helm like apt/yum/homebrew for Kubernetes
What is Windows?,"• Run Helm anywhere e.g. laptop, CI/CD etc."
What is meant by 'A fully fledged system package manager' in context of What Helm is NOT?,A fully fledged system package manager
"What is meant by 'A configuration management tool like Chef, ' in context of What Helm is NOT?","A configuration management tool like Chef,"
What is meant by 'helm repo add helm101 https' in context of Add repo?,helm repo add helm101 https://ibm.github.io/helm101/
What is meant by 'helm repo list' in context of Verify that helm101/guestbook is now in your repo?,helm repo list
What is meant by 'helm search helm101' in context of Verify that helm101/guestbook is now in your repo?,helm search helm101
What is meant by 'helm install helm101/guestbook --name myguestbook --set service.type=NodePort – follow the ' in context of Install?,helm install helm101/guestbook --name myguestbook --set service.type=NodePort – follow the
What is meant by 'Verify that your guestbook chart is installed' in context of Install?,Verify that your guestbook chart is installed
What is meant by 'helm ls' in context of Install?,helm ls
What is meant by 'Check chart release history' in context of Install?,Check chart release history
What is meant by 'First let’s see what we have' in context of Demo – Guestbook Upgrades and Rollback?,First let’s see what we have
What is meant by 'helm history myguestbook' in context of Demo – Guestbook Upgrades and Rollback?,helm history myguestbook
What is meant by 'Upgrade ' in context of Demo – Guestbook Upgrades and Rollback?,Upgrade
What is meant by 'helm upgrade myguestbook helm101/guestbook' in context of Demo – Guestbook Upgrades and Rollback?,helm upgrade myguestbook helm101/guestbook
What is meant by 'Rollback' in context of Demo – Guestbook Upgrades and Rollback?,Rollback
What is meant by 'helm rollback myguestbook 1' in context of Demo – Guestbook Upgrades and Rollback?,helm rollback myguestbook 1
What is meant by 'helm delete --purge myguestbook' in context of Remove chart completely?,helm delete --purge myguestbook
What is Another Demo!!!?,https://github.com/rav94/devops-in-practice
What is meant by 'The GitOps agent is monitoring one or more Git repositories that define ' in context of A GitOps agent is deployed on the cluster.?,The GitOps agent is monitoring one or more Git repositories that define
What is meant by 'Once a Git commit happens the GitOps agent is instructing the cluster to ' in context of Kustomize files).?,Once a Git commit happens the GitOps agent is instructing the cluster to
"What is meant by 'Developers, operators. and other stakeholders perform all changes via Git ' in context of Kustomize files).?","Developers, operators. and other stakeholders perform all changes via Git"
What is Traditional deployment without GitOps:?,"1 - A developer commits source code for the application. 2 - A CI system builds the application and may also perform additional  actions such as unit tests, security scans, static checks, etc. 3 - The container image is stored in a Container registry. 4 - The CI platform (or other external system) with direct access to the"
What is Kubernetes cluster creates a deployment using a variation of the?,“kubectl apply” command. 5 - The application is deployed on the cluster. • The cluster state is manually decided by kubectl commands or other
What is The first steps are the same.?,"1 - A developer commits source code for the application and the CI system creates a container image that is  pushed to a registry. 2 - Nobody has direct access to the Kubernetes cluster.  3 - There is a second Git repository that has all manifests that define the application. 4 - Another human or an automated system changes the manifests in this second Git repository. 5 - A GitOps controller that is running inside the cluster is monitoring the Git repository and as soon as a  change is made, it changes the cluster state to match what is described in Git."
What is meant by 'The state of the cluster is always described in Git. Git holds everything ' in context of The key points here are:?,The state of the cluster is always described in Git. Git holds everything
What is meant by 'There is no external deployment/CI system with full access to the ' in context of The key points here are:?,There is no external deployment/CI system with full access to the
What is meant by 'The GitOps controller is running in a constant loop and always ' in context of The key points here are:?,The GitOps controller is running in a constant loop and always
What is meant by 'Anti-Corruption Layer (ACL) pattern' in context of Microservices?,Anti-Corruption Layer (ACL) pattern
What is meant by 'Allows gradual translation from monoliths to microservices ' in context of Anti-Corruption Layer (ACL) pattern?,Allows gradual translation from monoliths to microservices
What is meant by 'Allows legacy systems to communicate with modern services without ' in context of Anti-Corruption Layer (ACL) pattern?,Allows legacy systems to communicate with modern services without
What is meant by 'Goal of ACLs is to minimize changes to existing functionality in ' in context of Anti-Corruption Layer (ACL) pattern?,Goal of ACLs is to minimize changes to existing functionality in
"What is meant by 'Acts as an adapter or facade, converting calls to the new interface.' in context of Anti-Corruption Layer (ACL) pattern?","Acts as an adapter or facade, converting calls to the new interface."
What is meant by 'ACL is also consumed as a part of Strangler-Fig pattern which we are ' in context of Anti-Corruption Layer (ACL) pattern?,ACL is also consumed as a part of Strangler-Fig pattern which we are
What is meant by 'Helps migrating a monolithic application to a microservices ' in context of Strangler fig Pattern?,Helps migrating a monolithic application to a microservices
What is meant by 'Migrating a monolithic application to microservices based one ' in context of Strangler fig Pattern?,Migrating a monolithic application to microservices based one
What is meant by 'Hence Strangler fig patterns allows teams to focus on doing this ' in context of Strangler fig Pattern?,Hence Strangler fig patterns allows teams to focus on doing this
What is meant by 'Identify Replaceable Components' in context of Process Involved in Strangler fig?,Identify Replaceable Components: Start with parts of the system that
What is meant by 'Build New Features as Services' in context of Process Involved in Strangler fig?,Build New Features as Services: Develop new functionalities as
What is meant by 'Reroute Traffic' in context of Process Involved in Strangler fig?,Reroute Traffic: Gradually reroute user traffic from the old system to
"What is A monolithic application has three services: user service, cart service,?","and account service. The cart service depends on the user service,  and the application uses a monolithic relational database. https://docs.aws.amazon.com/prescriptive-guidance/latest/cloud-design-patterns/strangler-fig.html"
What is First step is to add a proxy layer between the storefront UI and the?,"monolithic application. At the start, the proxy routes all traffic to the  monolithic application. https://docs.aws.amazon.com/prescriptive-guidance/latest/cloud-design-patterns/strangler-fig.html"
What is New services are implemented as microservices instead of adding?,"features to the existing monolith. However, you continue to fix bugs in  the monolith to ensure application stability. The proxy layer routes  the calls to the monolith or to the new microservice based on the API"
What is URL.?,https://docs.aws.amazon.com/prescriptive-guidance/latest/cloud-design-patterns/strangler-fig.html
"What is During the migration process, when the features within the monolith?","need to call the features that were migrated as microservices, the ACL  converts the calls to the new interface and routes them to the  appropriate microservice. https://docs.aws.amazon.com/prescriptive-guidance/latest/cloud-design-patterns/strangler-fig.html"
"What is Data synchronization is crucial when downstream services, rely on a monolithic architecture, use?","data from a microservice. In this scenario, a User microservice, which has its own data layer,  requires synchronization with the monolith. To facilitate this, a synchronization agent can be  introduced. Update events from the microservice's database are sent to a queue. The agent then  reads these events from the queue and synchronizes them with the monolithic database,  ensuring eventual data consistency between the microservice and the monolith. https://docs.aws.amazon.com/prescriptive-guidance/latest/cloud-design-patterns/strangler-fig.html"
What is Once all interdependent components have been fully migrated to?,"microservices, it becomes feasible to refactor the code to eliminate  the Anti-Corruption Layer (ACL) components. https://docs.aws.amazon.com/prescriptive-guidance/latest/cloud-design-patterns/strangler-fig.html"
What is The final strangled state where all services have been migrated out of?,the monolith and only the skeleton of the monolith remains.
What is Historical data can be migrated to data stores owned by individual?,"services. The ACL can be removed, and the monolith is ready to be  decommissioned at this stage. https://docs.aws.amazon.com/prescriptive-guidance/latest/cloud-design-patterns/strangler-fig.html"
What is The final architecture after the monolithic application has been?,decommissioned. https://docs.aws.amazon.com/prescriptive-guidance/latest/cloud-design-patterns/strangler-fig.html
"What is In a distributed transaction, multiple services can be called before a transaction is?","completed. When the services store data in different data stores, it can be challenging to  maintain data consistency across these data stores."
What is meant by 'Manages Distributed Transactions Across Multiple Microservices and Databases.' in context of Saga Pattern - A saga consists of a sequence of local transactions. Each local transaction in a saga?,Manages Distributed Transactions Across Multiple Microservices and Databases.
What is meant by 'Breaks Down a Transaction into a Series of Local Transactions for Each Service.' in context of Saga Pattern - A saga consists of a sequence of local transactions. Each local transaction in a saga?,Breaks Down a Transaction into a Series of Local Transactions for Each Service.
"What is meant by 'Addresses the challenge of maintaining atomicity, consistency, isolation, and durability in ' in context of Saga Pattern - A saga consists of a sequence of local transactions. Each local transaction in a saga?","Addresses the challenge of maintaining atomicity, consistency, isolation, and durability in"
What is meant by 'Utilizes Compensating Transactions or Actions in Case of Local Transaction Failures.' in context of Saga Pattern - A saga consists of a sequence of local transactions. Each local transaction in a saga?,Utilizes Compensating Transactions or Actions in Case of Local Transaction Failures.
What is meant by 'Avoids Using Two-Phase Commit Protocols for Transaction Management.' in context of Saga Pattern - A saga consists of a sequence of local transactions. Each local transaction in a saga?,Avoids Using Two-Phase Commit Protocols for Transaction Management.
What is meant by 'Ensures data integrity in distributed transactions across multiple ' in context of Saga Choreography?,Ensures data integrity in distributed transactions across multiple
What is meant by 'Depends on the events published by the microservices.' in context of Saga Choreography?,Depends on the events published by the microservices.
What is meant by 'The saga participants (microservices) subscribe to the events and act ' in context of Saga Choreography?,The saga participants (microservices) subscribe to the events and act
What is meant by 'Your system requires data integrity and consistency in distributed transactions that span multiple data ' in context of Use the saga choreography pattern when:?,Your system requires data integrity and consistency in distributed transactions that span multiple data
"What is meant by 'The data store (for example, a NoSQL database) doesn't provide 2PC to provide ACID transactions, you need ' in context of Use the saga choreography pattern when:?","The data store (for example, a NoSQL database) doesn't provide 2PC to provide ACID transactions, you need"
What is meant by 'A central controlling process that manages the participant transactions might become a single point of ' in context of Use the saga choreography pattern when:?,A central controlling process that manages the participant transactions might become a single point of
What is meant by 'When there are small number of participants (microservices) involved.' in context of Use the saga choreography pattern when:?,When there are small number of participants (microservices) involved.
What is meant by 'The saga participants are independent services and need to be loosely coupled.' in context of Use the saga choreography pattern when:?,The saga participants are independent services and need to be loosely coupled.
What is meant by 'Uses a central coordinator (orchestrator) to help preserve data ' in context of Saga Orchestrator?,Uses a central coordinator (orchestrator) to help preserve data
What is meant by 'Orchestrator sends messages to to participant microservices to ' in context of Orchestrator is aware of all the steps required for transaction.?,Orchestrator sends messages to to participant microservices to
What is meant by 'Orchestrator acts as the decision maker and determines the next ' in context of Orchestrator is aware of all the steps required for transaction.?,Orchestrator acts as the decision maker and determines the next
What is meant by 'Your system requires data integrity and consistency in distributed transactions that span multiple data stores.' in context of Use the saga orchestration pattern when:?,Your system requires data integrity and consistency in distributed transactions that span multiple data stores.
"What is meant by 'The data store doesn't provide 2PC to provide ACID transactions, and implementing 2PC within the application ' in context of Use the saga orchestration pattern when:?","The data store doesn't provide 2PC to provide ACID transactions, and implementing 2PC within the application"
"What is meant by 'You have NoSQL databases, which do not provide ACID transactions, and you need to update multiple tables ' in context of Use the saga orchestration pattern when:?","You have NoSQL databases, which do not provide ACID transactions, and you need to update multiple tables"
What is meant by 'Your system has many saga participants (microservices) involved and loose coupling between participants are ' in context of Use the saga orchestration pattern when:?,Your system has many saga participants (microservices) involved and loose coupling between participants are
What is meant by 'Traffic Management with Ingress' in context of Developing and deploying Microservices with?,Traffic Management with Ingress:
What is meant by 'Using Namespaces for Organization' in context of Kubernetes also supports manual scaling for handling varying loads effectively.?,Using Namespaces for Organization:
What is meant by 'Implementing Health Checks' in context of Grouping related services in the same namespace simplifies management and applies policies at the namespace level.?,Implementing Health Checks:
What is meant by 'Service Mesh for Advanced Traffic Management' in context of Health checks allow Kubernetes to replace non-functioning pods automatically.?,Service Mesh for Advanced Traffic Management:
"What is meant by 'Single Responsibility Principle for Microservices' in context of Provides traffic management, service discovery, load balancing, and failure recovery.?",Single Responsibility Principle for Microservices:
"What is meant by 'Design each microservice with a single responsibility for easier scaling, monitoring, and management.' in context of Provides traffic management, service discovery, load balancing, and failure recovery.?","Design each microservice with a single responsibility for easier scaling, monitoring, and management."
"What is meant by 'Tailor scaling policies, resource quotas, and security configurations to the specific needs of each service.' in context of Provides traffic management, service discovery, load balancing, and failure recovery.?","Tailor scaling policies, resource quotas, and security configurations to the specific needs of each service."
"What is meant by 'Continuous Delivery/Deployment (CD)' in context of Provides traffic management, service discovery, load balancing, and failure recovery.?",Continuous Delivery/Deployment (CD):
"What is meant by 'Utilizing Kubernetes Deployment objects for a declarative management of microservices.' in context of Provides traffic management, service discovery, load balancing, and failure recovery.?",Utilizing Kubernetes Deployment objects for a declarative management of microservices.
"What is meant by 'Implement rolling updates for gradual change rollout and use tools like Argo Rollouts for more reliable rollback and ' in context of Provides traffic management, service discovery, load balancing, and failure recovery.?",Implement rolling updates for gradual change rollout and use tools like Argo Rollouts for more reliable rollback and
"What is meant by 'Monitoring and Debugging' in context of Provides traffic management, service discovery, load balancing, and failure recovery.?",Monitoring and Debugging:
"What is meant by 'Collect and visualize metrics using tools like Prometheus and Grafana.' in context of Provides traffic management, service discovery, load balancing, and failure recovery.?",Collect and visualize metrics using tools like Prometheus and Grafana.
What is meant by 'They were inspired by the Biological Neural Networks ' in context of Biological Inspiration?,They were inspired by the Biological Neural Networks
What is meant by 'Functionality is very similar' in context of Biological Inspiration?,Functionality is very similar
What is meant by 'Let us take a real-world example' in context of Mathematical Intuition?,Let us take a real-world example:
What is meant by 'You go on shopping for a new Laptop. What are the ' in context of Mathematical Intuition?,You go on shopping for a new Laptop. What are the
What is meant by 'The Price (𝑥𝑃)' in context of Mathematical Intuition?,The Price (𝑥𝑃)
What is meant by 'Is it better than the Current Phone. (𝑥𝑏)' in context of Mathematical Intuition?,Is it better than the Current Phone. (𝑥𝑏)
What is meant by 'Is the merchant reliable. (𝑥𝑟)' in context of Mathematical Intuition?,Is the merchant reliable. (𝑥𝑟)
What is meant by 'How do we make the Decision?' in context of Mathematical Intuition?,How do we make the Decision?
What is meant by 'If y > 5 ➔ buy' in context of It’s Decision-Making Time?,If y > 5 ➔ buy
What is meant by 'If y > 5 ➔ buy' in context of Contribution of the Weights on the Decision?,If y > 5 ➔ buy
What is meant by 'If y<= ➔ Do not buy ' in context of Contribution of the Weights on the Decision?,If y<= ➔ Do not buy
What is meant by 'W1?' in context of Contribution of the Weights on the Decision?,W1?
What is meant by 'W2?' in context of Contribution of the Weights on the Decision?,W2?
What is meant by 'If y >= t ➔ buy(1)' in context of Merchant?,If y >= t ➔ buy(1)
What is meant by 'If y< t ➔ Do not buy (0)' in context of Merchant?,If y< t ➔ Do not buy (0)
What is meant by 'W1?' in context of Merchant?,W1?
What is meant by 'W2?' in context of Merchant?,W2?
What is meant by 'Its easier to compute with vectors' in context of Generalizing the Decision Statement?,Its easier to compute with vectors
What is meant by 'Multiple inputs' in context of A Perceptron?,Multiple inputs
What is meant by 'Corresponding weights' in context of A Perceptron?,Corresponding weights
What is meant by 'Bias' in context of A Perceptron?,Bias
What is meant by 'A Collection of Perceptron' in context of What is a Neural Network?,A Collection of Perceptron
What is meant by 'A Layer can be made by stacking a set of Perceptron ' in context of What is a Neural Network?,A Layer can be made by stacking a set of Perceptron
What is meant by 'A network is a set of layers that are arranged in a' in context of What is a Neural Network?,A network is a set of layers that are arranged in a
What is meant by 'Bias = -Threshold value' in context of More on Bias?,Bias = -Threshold value
What is meant by 'Output of a Perceptron is binary' in context of Activation Function?,Output of a Perceptron is binary
What is meant by 'This may not work all the time' in context of Activation Function?,This may not work all the time
What is meant by 'Linear output can be useful but will make it difficult to ' in context of Activation Function?,Linear output can be useful but will make it difficult to
"What is meant by 'Any Function can be used as an Activation function if,' in context of How to Choose an Activation Function?","Any Function can be used as an Activation function if,"
What is meant by 'The function is continuous and differentiable everywhere ' in context of How to Choose an Activation Function?,The function is continuous and differentiable everywhere
"What is meant by 'The derivative of the function does not saturate (i.e., ' in context of How to Choose an Activation Function?","The derivative of the function does not saturate (i.e.,"
"What is meant by 'The derivative does not explode (i.e., become very large, ' in context of How to Choose an Activation Function?","The derivative does not explode (i.e., become very large,"
What is meant by 'Most used type of ANN' in context of Feed Forward Networks?,Most used type of ANN
What is meant by 'Signal Flow is uni-directional' in context of Feed Forward Networks?,Signal Flow is uni-directional
What is meant by 'No signal loops.' in context of Feed Forward Networks?,No signal loops.
What is meant by 'MLP' in context of Feed Forward Networks?,MLP
What is meant by 'A measure of how well the network at Predicting the ' in context of Loss Function (Cost)?,A measure of how well the network at Predicting the
What is meant by 'Notion of Learning is based on the Loss Function' in context of Loss Function (Cost)?,Notion of Learning is based on the Loss Function
What is meant by 'Goal of the Network is to find the w and b values such ' in context of Loss Function (Cost)?,Goal of the Network is to find the w and b values such
What is meant by 'Mean Squared Error' in context of Different Loss Functions?,Mean Squared Error
What is meant by 'Stacking multiple Nerons to for a layer' in context of Building Complete Neural Networks?,Stacking multiple Nerons to for a layer
What is Implement backpropagation to compute partial?,derivatives    𝜕 𝐸 𝑡𝑜𝑡𝑎𝑙 𝜕𝑤𝑙 𝑗𝑘 5.
What is Use Gradient descent or any other optimization technique?,to update the weights to minimize Etotal 6.    Repeat this process over multiple iterations (epochs)   until the error converges
What is meant by 'MLP is a type of neural network that consists of ' in context of Multi-Layer Perceptron?,MLP is a type of neural network that consists of
What is meant by 'Each neuron in the hidden layers uses an activation ' in context of Multi-Layer Perceptron?,Each neuron in the hidden layers uses an activation
"What is meant by 'MLP is a feedforward network, which means that ' in context of Multi-Layer Perceptron?","MLP is a feedforward network, which means that"
"What is meant by 'MLP can be used for a variety of tasks, including ' in context of Applications of MLP?","MLP can be used for a variety of tasks, including"
"What is meant by 'MLP has been used for image classification, speech ' in context of Applications of MLP?","MLP has been used for image classification, speech"
What is meant by 'MLP is particularly useful for tasks where there are ' in context of Applications of MLP?,MLP is particularly useful for tasks where there are
What is meant by 'CNN is a type of neural network that is particularly ' in context of Convolutional Neural Networks?,CNN is a type of neural network that is particularly
What is meant by 'CNN uses convolutional layers to extract features ' in context of Convolutional Neural Networks?,CNN uses convolutional layers to extract features
What is meant by 'The output from the convolutional layers is then ' in context of Convolutional Neural Networks?,The output from the convolutional layers is then
What is meant by 'CNN has been used for a variety of image and video ' in context of Applications of CNN?,CNN has been used for a variety of image and video
What is meant by 'CNN has also been used in natural language ' in context of Applications of CNN?,CNN has also been used in natural language
What is meant by 'CNN is particularly useful for tasks where the input ' in context of Applications of CNN?,CNN is particularly useful for tasks where the input
What is meant by 'RNN is a type of neural network that is particularly ' in context of Recurrent Neural Networks?,RNN is a type of neural network that is particularly
What is meant by 'RNN uses feedback connections to allow information ' in context of Recurrent Neural Networks?,RNN uses feedback connections to allow information
What is meant by 'RNN can be trained using backpropagation through ' in context of Recurrent Neural Networks?,RNN can be trained using backpropagation through
What is meant by 'RNN has been used for a variety of sequence data ' in context of Applications of RNN?,RNN has been used for a variety of sequence data
